Unnamed: 0,pattern,rating,events,actions,conds,pattern_str
2082,"0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0",16,"['player', 'bullet1', 'bullet2', 'bullet3']","['not=', 'vnot<', '<', 'vnot>', 'vnot=', 'v>', '<', 'v<', '<', 'v<', 'not>', '>', 'v>', 'v>', 'vnot=', 'vnot>']","['or', 'or', 'or', 'or', 'or', 'or', 'or', 'or', 'and', 'or', 'and', 'or', 'and', 'and', 'or', 'or']",a.x not= c.x or a.y not< value or a.vy not> value AND b.x not= 7 or b.y > value or b.vy < value AND c.x < b.x and c.y < value AND d.x > 2 and d.y > value and d.vx not= 3 or d.vy not> 0
2083,"0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0",18,"['player', 'bullet1', 'bullet2', 'bullet3', 'explosion5']","['not=', 'vnot<', '<', 'vnot>', 'vnot=', 'v>', '<', 'v<', '<', 'v<', 'not>', '>', 'v>', 'v>', 'vnot=', 'vnot>', '=', 'vnot>', 'vnot=', 'vnot=']","['or', 'or', 'or', 'or', 'or', 'or', 'or', 'or', 'and', 'or', 'and', 'or', 'and', 'and', 'or', 'or', 'and', 'or', 'and', 'and']",a.x not= c.x or a.y not< value or a.vy not> value AND b.x not= 7 or b.y > value or b.vy < value AND c.x < b.x and c.y < value or c.vx not> e.vx and c.vy > e.vy AND d.x > 2 and d.y > value and d.vx not= 3 or d.vy not> 0 AND e.y not> value or e.vx not= value and e.vy not= value
2084,"0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0",20,"['player', 'bullet1', 'bullet2', 'bullet3', 'explosion5', 'explosion3']","['not=', 'vnot<', '<', 'vnot>', 'vnot=', 'v>', '<', 'v<', '<', 'v<', 'not>', '>', 'v>', 'v>', 'vnot=', 'vnot>', '=', 'vnot>', 'vnot=', 'vnot=', 'v=', 'not<', 'vnot=', 'v>']","['or', 'or', 'or', 'or', 'or', 'or', 'or', 'or', 'and', 'or', 'and', 'or', 'and', 'and', 'or', 'or', 'and', 'or', 'and', 'and', 'and', 'and', 'and', 'and']",a.x not= c.x or a.y not< value or a.vy not> value AND b.x not= 7 or b.y > value or b.vx < f.vx or b.vy < value AND c.x < b.x and c.y < value or c.vx not> e.vx and c.vy > e.vy AND d.x > 2 and d.y > value and d.vx not= 3 or d.vy not> 0 AND e.x = b.x and e.y not> value or e.vx not= value and e.vy not= value AND f.x = 4 and f.vx not= value and f.vy > value
2085,"0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0",4,['player'],"['=', 'vnot<', 'not=', 'vnot=']","['and', 'and', 'or', 'or']",a.y not< value or a.vy not= value
2086,"0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0",16,"['player', 'finish']","['=', 'vnot<', 'not=', 'vnot=', 'not=', '=', '=', 'vnot>']","['and', 'and', 'or', 'or', 'or', 'and', 'or', 'and']",a.x = b.x and a.y not< value or a.vy not= value AND b.vy not> value
2087,"0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0",1,['player'],"['vnot<', 'vnot<', 'not=', 'not=']","['and', 'or', 'and', 'and']",a.x not< value and a.y not< value
2088,"0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0",7,"['player', 'bullet1']","['vnot<', 'vnot<', 'not=', 'not=', '<', 'vnot>', 'vnot>', 'not>']","['and', 'or', 'and', 'and', 'or', 'or', 'or', 'and']",a.x not< value and a.y not< value AND b.y not> value or b.vx not> 3
2089,"0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0",11,"['player', 'bullet1', 'bullet4', 'flyer5']","['vnot<', 'vnot<', 'not=', 'not=', '<', 'vnot>', 'vnot>', 'not>', 'v<', 'not>', 'not<', 'vnot>', '>', 'v>', 'vnot>', 'v=']","['and', 'or', 'and', 'and', 'or', 'or', 'or', 'and', 'or', 'and', 'or', 'and', 'and', 'and', 'or', 'or']",a.x not< value and a.y not< value or a.vx not= c.vx and a.vy not= d.vy AND b.y not> value or b.vx not> 3 AND c.x < 5 or c.y not> b.y or c.vy not> 1 AND d.y > 2 and d.vx not> 0 or d.vy = value
2090,"0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0",15,"['player', 'bullet1', 'bullet4', 'flyer5', 'finish']","['vnot<', 'vnot<', 'not=', 'not=', '<', 'vnot>', 'vnot>', 'not>', 'v<', 'not>', 'not<', 'vnot>', '>', 'v>', 'vnot>', 'v=', 'vnot=', '=', 'not=', '>']","['and', 'or', 'and', 'and', 'or', 'or', 'or', 'and', 'or', 'and', 'or', 'and', 'and', 'and', 'or', 'or', 'and', 'or', 'and', 'or']",a.x not< value and a.y not< value or a.vx not= c.vx and a.vy not= d.vy AND b.y not> value or b.vx not> 3 or b.vy not> e.vy AND c.x < 5 or c.y not> b.y or c.vy not> 1 AND d.x > c.x and d.y > 2 and d.vx not> 0 or d.vy = value AND e.x not= 2
2091,"0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0",3,['player'],"['=', 'vnot>', 'vnot>', '=']","['and', 'or', 'or', 'or']",a.y not> value or a.vx not> value
2092,"0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0",9,"['player', 'bullet6']","['=', 'vnot>', 'vnot>', '=', 'v>', 'v>', 'v=', '>']","['and', 'or', 'or', 'or', 'and', 'or', 'and', 'or']",a.y not> value or a.vx not> value AND b.x > 4 and b.y > value or b.vx = value
2093,"0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0",21,"['player', 'bullet6', 'finish']","['=', 'vnot>', 'vnot>', '=', 'v>', 'v>', 'v=', '>', '<', 'vnot>', '<', 'not=']","['and', 'or', 'or', 'or', 'and', 'or', 'and', 'or', 'or', 'or', 'or', 'or']",a.x = c.x and a.y not> value or a.vx not> value AND b.x > 4 and b.y > value or b.vx = value AND c.y not> value
2094,"0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0",1,['player'],"['vnot>', 'not<', 'vnot>', 'not<']","['and', 'and', 'or', 'and']",a.x not> value and a.vx not> value
2095,"0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0",6,"['player', 'bullet1']","['vnot>', 'not<', 'vnot>', 'not<', '<', '>', 'vnot=', 'not>']","['and', 'and', 'or', 'and', 'or', 'or', 'or', 'and']",a.x not> value and a.vx not> value AND b.vx not= value
2096,"0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0",1,['player'],"['=', 'v=', 'v>', 'not<']","['or', 'or', 'or', 'and']",a.y = value or a.vx > value
2097,"0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0",4,"['player', 'bullet6']","['=', 'v=', 'v>', 'not<', 'v=', 'vnot=', '>', '=']","['or', 'or', 'or', 'and', 'or', 'and', 'or', 'or']",a.y = value or a.vx > value AND b.x = 6 or b.y not= value
2098,"0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0",11,"['player', 'bullet6', 'flyer6']","['=', 'v=', 'v>', 'not<', 'v=', 'vnot=', '>', '=', 'v=', 'not=', '=', '<']","['or', 'or', 'or', 'and', 'or', 'and', 'or', 'or', 'and', 'or', 'and', 'and']",a.y = value or a.vx > value AND b.x = 6 or b.y not= value and b.vx > c.vx AND c.x = value
2099,"0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0",13,"['player', 'bullet6', 'flyer6', 'explosion5']","['=', 'v=', 'v>', 'not<', 'v=', 'vnot=', '>', '=', 'v=', 'not=', '=', '<', 'not<', 'vnot<', '=', 'v=']","['or', 'or', 'or', 'and', 'or', 'and', 'or', 'or', 'and', 'or', 'and', 'and', 'and', 'and', 'or', 'or']",a.y = value or a.vx > value AND b.x = 6 or b.y not= value and b.vx > c.vx or b.vy = d.vy AND c.x = value AND d.y not< 5 or d.vy = 5
2100,"0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0",2,['player'],"['=', 'not<', 'vnot<', '=']","['and', 'and', 'and', 'or']",a.vx not< value
2101,"0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0",5,"['player', 'bullet6']","['=', 'not<', 'vnot<', '=', '>', 'vnot=', 'vnot=', 'vnot<']","['and', 'and', 'and', 'or', 'or', 'and', 'and', 'or']",a.vx not< value AND b.y not= 6 and b.vx not= value and b.vy not< 3
2102,"0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0",8,"['player', 'bullet6', 'flyer6']","['=', 'not<', 'vnot<', '=', '>', 'vnot=', 'vnot=', 'vnot<', 'v>', '>', 'not>', '>']","['and', 'and', 'and', 'or', 'or', 'and', 'and', 'or', 'and', 'and', 'or', 'and']",a.vx not< value AND b.y not= 6 and b.vx not= value and b.vy not< 3 AND c.x > 5
2103,"0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0",41,"['player', 'bullet6', 'flyer6', 'finish']","['=', 'not<', 'vnot<', '=', '>', 'vnot=', 'vnot=', 'vnot<', 'v>', '>', 'not>', '>', 'v>', '>', '>', 'vnot<']","['and', 'and', 'and', 'or', 'or', 'and', 'and', 'or', 'and', 'and', 'or', 'and', 'and', 'and', 'or', 'and']",a.x = d.x and a.y not< d.y and a.vx not< value AND b.x > d.x or b.y not= 6 and b.vx not= value and b.vy not< 3 AND c.x > 5 and c.vx not> b.vx AND d.x > value or d.vy not< value
2104,"0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0",2,['player'],"['vnot>', 'not<', '=', 'v=']","['or', 'and', 'or', 'and']",a.x not> value or a.vy = value
2105,"0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0",8,"['player', 'bullet5', 'bullet6']","['vnot>', 'not<', '=', 'v=', 'v=', '<', 'v>', '<', 'not<', 'not=', 'vnot=', 'vnot>']","['or', 'and', 'or', 'and', 'or', 'and', 'and', 'and', 'and', 'and', 'and', 'and']",a.x not> value or a.vy = value AND b.x = value or b.vx > 7 AND c.vx not= value and c.vy not> 3
2106,"0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0",17,"['player', 'bullet5', 'bullet6', 'bullet1']","['vnot>', 'not<', '=', 'v=', 'v=', '<', 'v>', '<', 'not<', 'not=', 'vnot=', 'vnot>', 'not<', 'v=', 'v=', 'not>']","['or', 'and', 'or', 'and', 'or', 'and', 'and', 'and', 'and', 'and', 'and', 'and', 'and', 'or', 'or', 'and']",a.x not> value or a.vx = d.vx or a.vy = value AND b.x = value or b.y < d.y and b.vx > 7 AND c.x not< d.x and c.y not= b.y and c.vx not= value and c.vy not> 3 AND d.y = 0 or d.vx = value
2107,"0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0",19,"['player', 'bullet5', 'bullet6', 'bullet1', 'flyer6']","['vnot>', 'not<', '=', 'v=', 'v=', '<', 'v>', '<', 'not<', 'not=', 'vnot=', 'vnot>', 'not<', 'v=', 'v=', 'not>', 'vnot<', 'vnot<', 'not>', 'v<']","['or', 'and', 'or', 'and', 'or', 'and', 'and', 'and', 'and', 'and', 'and', 'and', 'and', 'or', 'or', 'and', 'and', 'and', 'or', 'and']",a.x not> value or a.y not< e.y and a.vx = d.vx or a.vy = value AND b.x = value or b.y < d.y and b.vx > 7 AND c.x not< d.x and c.y not= b.y and c.vx not= value and c.vy not> 3 AND d.y = 0 or d.vx = value AND e.x not< 2 and e.y not< value or e.vy < 6
2108,"0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0",21,"['player', 'bullet5', 'bullet6', 'bullet1', 'flyer6', 'flyer8']","['vnot>', 'not<', '=', 'v=', 'v=', '<', 'v>', '<', 'not<', 'not=', 'vnot=', 'vnot>', 'not<', 'v=', 'v=', 'not>', 'vnot<', 'vnot<', 'not>', 'v<', 'not>', '<', 'vnot=', 'v=']","['or', 'and', 'or', 'and', 'or', 'and', 'and', 'and', 'and', 'and', 'and', 'and', 'and', 'or', 'or', 'and', 'and', 'and', 'or', 'and', 'or', 'and', 'or', 'and']",a.x not> value or a.y not< e.y and a.vx = d.vx or a.vy = value AND b.x = value or b.y < d.y and b.vx > 7 AND c.x not< d.x and c.y not= b.y and c.vx not= value and c.vy not> 3 AND d.y = 0 or d.vx = value AND e.x not< 2 and e.y not< value and e.vx not> a.vx or e.vy < 6 AND f.vx not= 6 or f.vy = value
2109,"0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0",3,['player'],"['=', 'v<', 'not<', 'vnot<']","['and', 'and', 'and', 'or']",a.y < value and a.vy not< value
2110,"0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0",5,"['player', 'flyer7']","['=', 'v<', 'not<', 'vnot<', 'not=', '<', '<', 'vnot=']","['and', 'and', 'and', 'or', 'and', 'or', 'or', 'and']",a.y < value and a.vy not< value AND b.vy not= value
2111,"0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0",13,"['player', 'flyer7', 'flyer7']","['=', 'v<', 'not<', 'vnot<', 'not=', '<', '<', 'vnot=', 'vnot>', '=', '<', '>']","['and', 'and', 'and', 'or', 'and', 'or', 'or', 'and', 'or', 'and', 'or', 'or']",a.y < value and a.vy not< value AND b.vy not= value AND c.x not> 7
2112,"0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0",43,"['player', 'flyer7', 'flyer7', 'finish']","['=', 'v<', 'not<', 'vnot<', 'not=', '<', '<', 'vnot=', 'vnot>', '=', '<', '>', 'not<', 'v<', 'v<', 'not=']","['and', 'and', 'and', 'or', 'and', 'or', 'or', 'and', 'or', 'and', 'or', 'or', 'and', 'and', 'or', 'or']",a.x = d.x and a.y < value and a.vy not< value AND b.vy not= value AND c.x not> 7 or c.y = b.y AND d.y < value and d.vx < value
2113,"0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0",2,['player'],"['=', 'v>', '>', 'vnot=']","['and', 'or', 'or', 'and']",a.y > value or a.vy not= value
2114,"0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0",20,"['player', 'finish']","['=', 'v>', '>', 'vnot=', 'v>', 'not>', 'not<', '=']","['and', 'or', 'or', 'and', 'and', 'and', 'or', 'and']",a.x = b.x and a.y > value or a.vy not= value AND b.x > value
2115,"0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0",1,['player'],"['>', 'not=', 'not=', 'not>']","['and', 'and', 'or', 'or']",nan
2116,"0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0",6,"['player', 'bullet4']","['>', 'not=', 'not=', 'not>', 'vnot>', 'not<', 'not=', 'vnot>']","['and', 'and', 'or', 'or', 'or', 'or', 'and', 'or']",b.x not> 3 or b.vy not> 7
